=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:17:53 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,vlue2
5.948100,tfmini,309,1805
5.953540,laser,886,
5.961464,tfmini,22937,0
5.981056,tfmini,144,380
5.985472,tfmini,285,1877
6.012856,tfmini,312,1886
6.014280,tfmini,312,1880
6.017504,tfmini,312,1871
6.035312,laser,818,
6.040696,tfmini,0,1563
6.045912,tfmini,0,1294
6.052576,tfmini,0,281
6.061760,tfmini,49,322
6.065872,tfmini,261,1884
6.072664,tfmini,310,1879
6.084520,tfmini,312,1867
6.093216,tfmini,312,1888
6.096576,tfmini,312,1886
6.104952,tfmini,312,22793
6.110816,tfmini,310,1893
6.118332,laser,730,
6.130152,tfmini,0,734
6.132408,tfmini,0,383
6.137592,tfmini,0,124
6.139640,tfmini,0,249
6.143512,tfmini,46,382
6.146696,tfmini,227,1893
6.152496,tfmini,309,1875
6.163904,tfmini,312,1883
6.166168,tfmini,312,1891
6.168680,tfmini,312,1893
6.178352,tfmini,313,1899
6.185616,laser,725,
6.190008,tfmini,0,7914
6.193048,tfmini,0,1807
6.206284,tfmini,8,230
6.211704,tfmini,139,266
6.247232,tfmini,312,1890
6.249640,tfmini,311,1900
6.251064,tfmini,309,1803
6.254056,laser,962,
6.275960,tfmini,25,298
6.277288,tfmini,38,298
6.300624,tfmini,312,1881
6.303016,tfmini,312,1867
6.320352,tfmini,308,1810
6.323224,laser,999,
6.326912,tfmini,2,7392
6.336376,tfmini,0,308
6.350200,tfmini,142,272
6.362640,tfmini,312,1876
6.384120,tfmini,312,1878
6.385536,tfmini,311,1891
6.388912,tfmini,310,1898
6.391656,laser,876,
6.399128,tfmini,0,1789
6.405304,tfmini,0,276
6.412300,tfmini,0,257
6.433992,tfmini,312,1882
6.441128,tfmini,312,1881
6.442920,tfmini,14425,24577
6.451488,laser,881,
6.462452,tfmini,0,531
6.468848,tfmini,0,5
6.470048,tfmini,0,5
6.481560,tfmini,304,1883
6.487108,tfmini,312,1872
6.504112,tfmini,312,1886
6.508696,tfmini,311,1887
6.512024,laser,896,
6.524184,tfmini,0,368
6.531312,tfmini,8,55
6.532560,tfmini,20,324
6.536688,tfmini,40,1893
6.540168,tfmini,285,1896
6.549016,tfmini,312,1891
6.550432,tfmini,313,1882
6.553712,tfmini,313,1888
6.566672,tfmini,311,1878
6.570040,tfmini,309,1788
6.571532,laser,978,
6.576420,tfmini,0,7229
6.590520,tfmini,14,46
6.604448,tfmini,312,1883
6.610600,tfmini,312,1892
6.619272,tfmini,313,1865
6.629040,laser,782,
6.636128,tfmini,0,1757
6.648032,tfmini,8,212
6.653320,tfmini,40,1876
6.669880,tfmini,312,1880
6.684384,laser,713,
6.689992,tfmini,1,7773
6.692900,tfmini,22800,89
6.697576,tfmini,0,315
6.698896,tfmini,0,39169
6.707552,tfmini,316,22937
6.711336,tfmini,266,1889
6.714872,tfmini,303,1887
6.719704,tfmini,311,1886
6.723688,tfmini,312,39396
6.729792,tfmini,312,1881
6.738232,laser,779,
6.741696,tfmini,305,7697
6.749080,tfmini,0,552
6.760824,tfmini,44,266
6.770164,tfmini,308,1884
6.780456,tfmini,313,1886
6.783808,tfmini,312,1902
6.785272,tfmini,312,1888
6.791152,laser,740,
6.796300,tfmini,0,7514
