config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
2646,True,False,4000.0,0.01840998,3.71947e-05,0.004752,0.08723,0.0009837,0.41205,0.483,0.0,0.0,0.0,0.0,0.0,4000.0
2647,True,True,4000.0,0.00957006,3.01332e-05,0.003957,0.3204,0.005221,2.18697,3.41278,4.69476368,3.96270984,1.16441882,2.98236379,-5.5729748,1484.04083799
2648,True,False,4000.0,0.01838982,4.01768e-05,0.0058519999999999996,0.08474,0.005935,2.48605,0.46972,0.0,0.0,0.0,0.0,0.0,4000.0
2649,True,True,4000.0,0.00908696,2.52325e-05,0.003660749999999999,0.1724,0.001974,0.82687,1.93397,2.28433886,3.29272219,0.64460248,1.5258181,-4.98933941,2471.85177812
2650,True,True,4000.0,0.00570589,1.20006e-05,0.00268,0.06785,0.0007757,0.32492,1.21215,0.14148168,1.02900275,0.29624971,0.25553569,-1.6271974,3424.66774457
2651,True,True,4000.0,0.00546002,1.15137e-05,0.0019199999999999998,0.08458,0.00075,0.31416,1.57908,1.21256026,2.57606352,0.53895271,0.96565888,-4.21909181,2861.68041138
2652,True,False,4000.0,0.00861477,1.69527e-05,0.0037520000000000006,0.07839,0.001875,0.7854,0.92757,0.0,0.0,0.0,0.0,0.0,4000.0
2653,True,False,4000.0,0.00802813,1.72352e-05,0.00301,0.07091,0.00141,0.59062,0.90038,0.0,0.0,0.0,0.0,0.0,4000.0
2654,False,False,4000.0,0.00643022,1.3157e-05,0.0030799999999999994,,,,,,,,,,
2655,True,False,4000.0,0.02192225,5.10814e-05,0.007707,0.0832,0.002509,1.05097,0.38687,0.0,0.0,0.0,0.0,0.0,4000.0
2656,True,True,4000.0,0.00975308,2.71015e-05,0.0036317999999999997,0.3744,0.005485,2.29755,3.91314,3.33144179,2.77950223,0.43766777,3.51052056,-5.52720607,1404.72593128
2657,True,False,4000.0,0.01195343,2.38592e-05,0.0034964999999999996,0.09561,0.001148,0.48087,0.81535,0.0,0.0,0.0,0.0,0.0,4000.0
2658,True,True,4000.0,0.00872867,2.59502e-05,0.005016,0.2323,0.00443,1.85563,2.71289,0.88985373,1.54967468,0.25954577,1.45308343,-3.51781689,1998.50886091
2659,True,True,4000.0,0.00872925,3.13042e-05,0.004716,0.2213,0.003335,1.39696,2.58426,2.46835136,3.49743249,0.69052708,1.66519937,-4.64663792,2091.82219314
2660,False,False,4000.0,,,0.0055920000000000015,,,,,,,,,,
2661,True,True,4000.0,0.00939298,2.11942e-05,0.0033546,0.1811,0.001838,0.7699,1.96538,1.47188832,2.36749667,0.46489469,1.42923422,-4.50399935,2479.14603488
2662,True,True,4000.0,0.01674303,4.15639e-05,0.0058055,0.2822,0.01379,5.77634,1.71812,0.20340756,0.73540022,0.15930771,0.58647647,-1.94827004,2329.12194679
2663,True,True,4000.0,0.01083795,3.68628e-05,0.004168,0.2225,0.002374,0.99442,2.09273,2.99883034,4.25017951,0.92107312,1.57647284,-5.36465733,2428.16364022
2664,True,False,4000.0,0.0146034,4.35528e-05,0.006488000000000001,0.104,0.008507,3.5634,0.72596,0.0,0.0,0.0,0.0,0.0,4000.0
2665,True,False,4000.0,0.0279957,7.99221e-05,0.007335,0.2365,0.00302,1.26501,0.86113,0.0,0.0,0.0,0.0,0.0,4000.0
2666,True,True,4000.0,0.01219104,3.3702e-05,0.003659999999999999,0.139,0.00135,0.56549,1.16226,0.18910047,1.32932722,0.3703998,0.25676699,-1.88764905,3546.28324475
2667,True,True,4000.0,0.01366666,4.32467e-05,0.0037008,0.1742,0.001687,0.70665,1.29932,0.63595235,2.16457129,0.44954187,0.56459767,-3.32519128,3304.50578364
2668,True,True,4000.0,0.01065632,2.24022e-05,0.0045672,0.1611,0.001865,0.78121,1.54106,0.7992375,1.9280836,0.46722404,0.84600618,-3.52013846,2847.35787298
2669,True,True,4000.0,0.0303114,7.85681e-05,0.006312,0.3127,0.003756,1.57331,1.05161,0.01188747,0.45173645,0.15967044,0.04350138,-0.48251251,3803.32901391
2670,False,False,4000.0,0.00533637,1.34324e-05,0.002896,,,,,,,,,,
2671,True,False,4000.0,0.01441485,3.45183e-05,0.004407000000000001,0.05255,0.001831,0.76697,0.37162,0.0,0.0,0.0,0.0,0.0,4000.0
2672,True,True,4000.0,0.01386175,2.4222e-05,0.0032681999999999998,0.1787,0.001864,0.78079,1.31413,0.45428643,1.52530167,0.37995307,0.56921171,-2.87448611,3124.12235699
2673,True,True,4000.0,0.01055565,2.8984e-05,0.003664,0.2551,0.003065,1.28386,2.46352,3.38384039,3.39019904,0.69695135,2.42787128,-5.66679705,2014.90849708
2674,True,True,4000.0,0.01277952,4.30957e-05,0.0033275999999999996,0.2673,0.002987,1.25119,2.13214,4.14005772,4.48023537,0.93100898,2.07243904,-6.43109839,2335.37712994
2675,True,True,4000.0,0.00873528,2.41721e-05,0.0040680000000000004,0.3726,0.005182,2.17063,4.34807,5.30783368,4.19860123,1.29431595,3.46045484,-5.34270449,1297.62515547
2676,True,True,4000.0,0.00645688,1.45079e-05,0.0024688,0.1807,0.002079,0.87085,2.85277,3.93768442,3.740429,0.91140038,2.5536126,-5.62716212,1784.64410068
2677,True,True,4000.0,0.01960496,4.32732e-05,0.004083999999999999,0.2696,0.003385,1.41791,1.4018,0.84413518,1.92945553,0.50803397,0.8595399,-3.82618424,2939.9830883
2678,True,True,4000.0,0.00977004,2.74549e-05,0.003117,0.2302,0.002258,0.94583,2.40182,3.26486666,3.81290455,0.63595802,2.03916563,-5.76763251,2188.40543495
