config_id,band,h_max_tier,subset,radius_mm,blade_count,inner_chord_mm,mid_chord_mm,outer_chord_mm,inner_angle_deg,mid_angle_deg,outer_angle_deg,mid_radial_pos,mass_g,mass_kg,izz,T_static_N,T_over_W,h_max_m,flight_time_s,v_impact_m_s
1445,1,3,band1_tier3,75,6,6,29,29,22,14,2,0.7,29.811,0.029811,8.65243e-05,0.5556,1.89984,3.09049214,3.58021301,-5.78127402
1590,1,3,band1_tier3,78,3,6,30,19,20,17,13,0.3,25.628,0.025628,8.1626e-05,0.6488,2.58064,4.75949444,3.96974421,-7.16232099
2023,1,3,band1_tier3,79,6,6,15,10,24,9,3,0.7,11.112,0.011112,3.46738e-05,0.4256,3.90427,3.54315606,3.44898319,-5.22385805
2156,1,3,band1_tier3,64,4,8,11,11,23,15,10,0.6,6.428999999999999,0.006429,1.6346e-05,0.1463,2.3197,3.1147838,3.4797322,-5.43046156
2300,1,3,band1_tier3,74,3,5,28,20,20,17,5,0.3,18.979,0.018979,4.77002e-05,0.3635,1.95237,3.01162129,3.61021588,-6.04439588
2517,1,3,band1_tier3,65,3,6,12,12,20,10,3,0.7,4.734999999999999,0.004735,1.27024e-05,0.1037,2.23249,3.18548793,4.08775051,-5.42496342
2757,1,3,band1_tier3,78,4,7,17,16,20,17,3,0.3,14.625,0.014625,4.52366e-05,0.338,2.35587,4.19810368,4.27191107,-6.1085712
3162,1,3,band1_tier3,63,3,8,24,12,24,17,6,0.4,9.301,0.009301,1.87705e-05,0.211,2.31251,2.91163559,3.25480016,-5.57433705
3212,1,3,band1_tier3,79,3,10,16,15,19,16,13,0.4,13.434,0.013434,5.58368e-05,0.3775,2.86446,7.69545328,5.86107655,-7.22952121
3261,1,3,band1_tier3,67,3,7,26,25,21,14,14,0.5,19.039,0.019039,6.22586e-05,0.3276,1.754,3.35516477,3.90047545,-6.42904157
3392,1,3,band1_tier3,60,4,8,22,15,25,14,13,0.6,10.808,0.010808,2.41291e-05,0.2309,2.17776,2.98187454,3.39344668,-5.54507678
3393,1,3,band1_tier3,79,5,5,27,12,25,16,13,0.4,26.928,0.026928,7.37021e-05,0.6732,2.54842,4.54002093,3.81623787,-6.60396436
3577,1,3,band1_tier3,70,3,8,26,20,24,7,2,0.7,12.033999999999999,0.012034,2.99332e-05,0.25,2.11768,3.05347923,3.57096097,-5.7205543
3740,1,3,band1_tier3,79,4,6,30,29,24,14,9,0.7,29.383,0.029383,0.000118626,0.7812,2.71017,7.26557337,5.16077427,-7.46740478
3917,1,3,band1_tier3,75,6,6,11,11,21,17,12,0.3,11.164,0.011164,3.83623e-05,0.3842,3.50807,5.70489863,4.77200282,-5.77002043
4406,1,3,band1_tier3,67,6,5,22,22,17,14,14,0.7,19.952,0.019952,5.80667e-05,0.4136,2.11312,3.05459858,3.38688333,-5.7405233
4867,1,3,band1_tier3,66,5,7,27,24,19,15,7,0.6,17.694000000000003,0.017694,4.12442e-05,0.4477,2.57924,3.58121791,3.35560935,-5.65335977
